id,title,year,rating,votes,runtime,genres
91,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1.2M,2h 11m,Action Epic
92,Toy Story 3,2010,8.3,934K,1h 43m,Computer Animation
93,The Hunt,2012,8.3,389K,1h 55m,Psychological Drama
94,Ikiru,1952,8.3,97K,2h 23m,Psychological Drama
95,Eternal Sunshine of the Spotless Mind,2004,8.3,1.1M,1h 48m,Dark Romance
96,Hababam Sinifi: Sinifta Kaldi,1975,8.7,27K,1h 35m,Satire
97,2001: Een zwerftocht in de ruimte,1968,8.3,755K,2h 29m,Adventure Epic
98,Incendies,2010,8.3,229K,2h 11m,Suspense Mystery
99,Reservoir Dogs,1992,8.3,1.1M,1h 39m,Gangster
100,Het appartement,1960,8.3,209K,2h 5m,Farce
101,Lawrence of Arabia,1962,8.3,330K,3h 47m,Adventure Epic
102,Scarface,1983,8.3,968K,2h 50m,Drug Crime
103,Bloedgeld,1944,8.3,175K,1h 47m,Film Noir
104,Heat,1995,8.3,760K,2h 50m,Action Epic
105,North by Northwest,1959,8.3,361K,2h 16m,Spy
106,Up,2009,8.3,1.2M,1h 36m,Coming-of-Age
107,Citizen Kane,1941,8.3,482K,1h 59m,Epic
108,M - Eine Stadt sucht einen Mörder,1931,8.3,177K,1h 57m,Psychological Thriller
109,Full Metal Jacket,1987,8.2,823K,1h 56m,Dark Comedy
110,Vertigo,1958,8.2,446K,2h 8m,Psychological Thriller
111,Le fabuleux destin d'Amélie Poulain,2001,8.3,820K,2h 2m,Feel-Good Romance
112,A Separation,2011,8.3,270K,2h 3m,Legal Drama
113,Taare Zameen Par,2007,8.3,218K,2h 42m,Coming-of-Age
114,To Kill a Mockingbird,1962,8.3,344K,2h 9m,Legal Drama
115,A Clockwork Orange,1971,8.2,913K,2h 16m,Dark Comedy
116,Die Hard,1988,8.2,992K,2h 12m,Disaster
117,The Sting,1973,8.2,291K,2h 9m,Caper
118,Indiana Jones and the Last Crusade,1989,8.2,840K,2h 7m,Adventure Epic
119,Oppenheimer,2023,8.3,897K,3h,Docudrama
120,Metropolis,1927,8.3,195K,2h 33m,Dystopian Sci-Fi
121,Snatch,2000,8.2,948K,1h 44m,Caper
122,1917,2019,8.2,730K,1h 59m,Epic
123,L.A. Confidential,1997,8.2,642K,2h 18m,Conspiracy Thriller
124,Ladri di biciclette,1948,8.2,186K,1h 29m,Tragedy
125,Der Untergang,2004,8.2,389K,2h 36m,Docudrama
126,Dangal,2016,8.3,227K,2h 41m,Coming-of-Age
127,The Wolf of Wall Street,2013,8.2,1.7M,3h,Dark Comedy
128,Hamilton,2020,8.3,128K,2h 40m,Epic
129,Taxi Driver,1976,8.2,981K,1h 54m,Psychological Drama
130,Green Book,2018,8.2,638K,2h 10m,Docudrama
131,Batman Begins,2005,8.2,1.6M,2h 20m,Action Epic
